,from,to,weight
0,5289,5290,172.2
0,5290,5291,280.2
0,5291,5292,770.3
0,5292,5293,271.1
0,5293,2510,447.6
0,2510,2511,340.3
0,2511,2512,364.5
0,2512,2513,414.4
0,2513,2514,516.6
0,2514,2515,554.6
0,2515,2516,623.4
0,2516,2518,392.1
0,2518,5199,629.6
0,5199,2519,448.6
0,2519,2520,399.0
0,2520,2521,344.9
0,2521,2522,809.8
0,2522,2523,319.0
0,2523,2524,410.5
0,2524,2022,416.3
0,2022,2023,441.1
0,2023,2525,485.3
0,2525,2526,334.6
0,2526,2527,297.7
0,2527,2528,170.6
0,2528,2529,300.6
0,2529,2530,219.5
0,2530,2531,296.9
0,2531,2532,275.1
0,2532,2533,138.7
0,2533,2534,145.8
0,2534,2535,296.2
0,2535,2536,191.6
0,2536,2537,144.4
0,2537,2538,298.3
0,2538,2540,276.8
0,2540,2541,207.6
0,2541,2542,230.6
0,2542,2543,239.0
0,2543,2544,197.9
0,2544,3209,414.2
0,3209,2546,474.2
0,2546,2547,160.9
0,2547,2548,374.7
0,2548,3215,230.1
0,3215,3216,193.7
0,3216,2549,214.4
0,2549,3217,198.6
0,3217,3219,360.8
0,3219,3221,201.6
0,3221,3223,247.3
0,3223,3225,233.3
0,3225,3227,307.9
0,3227,3228,233.5
0,3228,3230,414.7
0,3230,3231,182.9
0,3231,3232,198.6
0,3232,3233,296.0
0,3233,4207,304.7
0,4207,3241,332.3
0,3241,4908,923.2
0,4908,4010,431.7
0,4010,4012,434.6
0,4012,3912,404.7
0,3912,4015,437.4
0,4015,4201,405.5
0,4201,4017,408.2
0,4017,3914,408.8
0,3914,4041,637.3
0,4041,4763,154.2
0,5344,5345,174.6
0,5345,5346,176.3
0,5346,5347,205.4
0,5347,5348,220.5
0,5348,1178,201.3
0,1178,1179,447.0
0,1179,1180,231.8
0,1180,1181,167.2
0,1181,1182,301.9
0,1182,1183,211.6
0,1183,1184,610.2
0,1184,1185,255.3
0,1185,1187,395.6
0,1187,1188,213.6
0,1188,1189,329.7
0,1189,5883,429.5
0,5883,1191,768.5
0,1191,1192,377.3
0,1192,1193,315.9
0,1193,1194,412.1
0,1194,1195,315.3
0,1195,1196,493.5
0,1196,1198,458.0
0,1198,1199,425.6
0,1199,1200,371.1
0,1200,1201,391.3
0,1201,1203,453.9
0,1203,1205,519.2
0,1205,1208,694.3
0,1208,5958,812.5
0,5958,1568,230.7
0,1568,1569,267.6
0,1569,4912,764.9
0,4912,4213,291.8
0,4213,1571,232.5
0,1571,1572,248.0
0,1572,1573,402.8
0,1573,1574,147.3
0,1574,1575,243.2
0,1575,3733,226.5
0,3733,3734,272.8
0,3734,3735,327.4
0,3735,3724,458.6
0,3724,3725,220.6
0,3725,3726,328.5
0,3726,3736,197.0
0,3736,3663,482.7
0,3663,3877,493.1
0,3877,3878,188.0
0,3878,3822,278.5
0,3822,3830,282.7
0,3830,3831,176.0
0,3831,3832,231.4
0,3832,3847,340.5
0,3847,3849,307.6
0,3849,4002,400.7
0,4002,4087,213.2
0,4087,4003,337.0
0,4003,2969,437.8
0,2969,2970,228.6
0,2970,3890,263.3
0,3890,3891,310.2
0,3891,2971,188.1
0,2971,4881,240.0
0,4881,2972,177.7
0,2972,2973,251.0
0,2973,3887,199.8
0,3887,2974,260.9
0,2974,2975,297.7
0,2975,2976,348.4
0,2976,2977,216.2
0,2977,2978,151.7
0,2978,2979,377.2
0,2979,2980,320.9
0,2980,3245,255.8
0,3245,3246,175.9
0,3246,3247,179.6
0,3247,3248,278.1
0,3248,3249,140.5
0,3249,3250,224.3
0,3250,3251,169.3
0,3251,3252,303.8
0,3252,3253,228.3
0,3253,3254,217.4
0,3254,3255,167.0
0,3255,3256,180.1
0,3256,3257,276.0
0,3257,5712,463.1
0,5712,3406,404.5
0,3406,3407,470.3
0,3407,2927,343.3
0,2927,2928,342.6
0,2928,2943,712.2
0,2943,2944,173.4
0,2944,2934,331.6
0,2934,2930,293.4
0,2930,2931,253.3
0,2931,2932,215.6
0,2932,2794,154.9
0,2794,4313,337.8
0,4313,5197,228.4
0,5197,2795,303.3
0,2795,2796,310.2
0,2796,2947,289.3
0,2947,2948,332.7
0,2948,2949,327.2
0,5709,1600,269.9
0,1600,5131,258.7
0,5131,1601,391.1
0,1601,1611,289.0
0,1611,1612,241.9
0,1612,1613,259.8
0,1613,1614,219.6
0,1614,1615,419.4
0,1615,4958,229.8
0,4958,2425,237.1
0,2425,2426,401.9
0,2426,2438,327.2
0,2438,2439,403.3
0,2439,2440,341.8
0,2440,2441,229.9
0,2441,2442,146.1
0,2442,2779,280.7
0,2779,2780,179.9
0,2780,2097,270.6
0,2097,2098,201.2
0,2098,2099,248.8
0,2099,2100,367.3
0,2100,2101,399.3
0,2101,2102,316.0
0,2102,2103,274.5
0,2103,2104,299.7
0,2104,2107,221.3
0,2107,2108,274.3
0,4974,4973,319.1
0,4973,4381,251.9
0,4381,4975,324.6
0,4975,4972,223.9
0,4972,1245,149.8
0,1245,1246,169.4
0,1246,1247,308.7
0,1247,1249,198.4
0,1249,1250,197.1
0,1250,1251,202.2
0,1251,1252,194.9
0,1252,5991,200.8
0,5991,1060,210.1
0,1060,1061,200.3
0,1061,1062,197.0
0,1062,1063,182.5
0,1063,1064,206.6
0,1064,1065,191.3
0,1065,4775,117.3
0,4775,4930,446.9
0,4930,4776,227.9
0,4776,1283,1026.2
0,1283,1284,192.2
0,1284,1285,200.2
0,1285,1286,207.3
0,1286,1287,224.3
0,1287,1288,207.8
0,1288,1289,187.2
0,1289,1290,225.9
0,1290,1291,168.8
0,1291,1292,246.6
0,1292,1293,242.2
0,1293,1568,342.6
0,1568,1569,267.6
0,1569,1578,874.7
0,1578,1579,330.5
0,1579,1580,193.0
0,1580,1581,195.8
0,1581,3905,265.6
0,3905,1585,175.9
0,1585,4982,256.2
0,4982,3908,255.2
0,3908,1586,219.3
0,1586,2090,327.7
0,2090,2091,352.3
0,2091,2092,402.1
0,2092,2093,342.7
0,2093,2094,343.6
0,2094,4817,313.3
0,4817,2096,347.1
0,2096,5070,243.9
0,5070,3453,331.1
0,3453,3454,274.1
0,3454,3455,335.2
0,3455,3456,220.2
0,3456,3457,240.0
0,3457,3458,297.7
0,3458,3459,285.2
0,3459,3487,342.8
0,3487,3488,386.0
0,3488,3489,411.6
0,3489,553,249.2
0,553,3067,590.4
0,3067,3068,178.5
0,3068,3069,204.5
0,3069,3070,224.1
0,3070,3465,256.1
0,3465,3466,201.9
0,3466,3467,283.8
0,3467,3435,324.7
0,3435,3934,491.0
0,3934,4079,430.6
0,4079,4193,261.1
0,4193,4553,301.2
0,4553,3951,194.2
0,3951,3952,287.0
0,3952,3956,288.6
0,3956,3957,284.6
0,4974,4973,305.4
0,4973,4381,251.8
0,4381,4975,324.6
0,4975,4972,223.9
0,4972,1245,149.8
0,1245,1246,169.4
0,1246,1247,308.7
0,1247,1257,298.4
0,1257,1258,202.4
0,1258,1259,99.6
0,1259,1269,183.4
0,1269,1270,214.8
0,1270,1271,204.3
0,1271,1272,195.4
0,1272,1062,195.1
0,1062,1063,182.5
0,1063,1064,206.6
0,1064,1065,191.3
0,1065,4775,117.3
0,4775,4930,449.6
0,4930,4776,227.9
0,4776,1283,1026.4
0,1283,1284,192.2
0,1284,1285,200.2
0,1285,1286,207.3
0,1286,1287,224.3
0,1287,1288,207.8
0,1288,1289,187.2
0,1289,1290,225.9
0,1290,1291,168.8
0,1291,1292,246.6
0,1292,1293,242.2
0,1293,1568,342.7
0,1568,1569,267.6
0,1569,4212,474.3
0,4212,1599,281.6
0,1599,1600,184.5
0,1600,5131,258.7
0,5131,1632,260.0
0,1632,1601,131.0
0,1601,1611,290.1
0,1611,1612,242.0
0,1612,1613,259.4
0,1613,1614,219.7
